,Brand,Model,AccelSec,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Brand and Model,TopSpeed_mph,Range_Mi,PriceUS
0,Tesla ,Model 3 Long Range Dual Motor,4.6,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,Tesla Model 3 Long Range Dual Motor,145.0,280.0,66576.0
1,Volkswagen ,ID.3 Pure,10.0,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,Volkswagen ID.3 Pure,99.0,168.0,36000.0
2,Polestar ,2,4.7,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,Polestar 2,130.0,249.0,67728.0
3,BMW ,iX3 ,6.8,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,BMW iX3 ,112.0,224.0,81648.0
4,Honda ,e ,9.5,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,Honda e ,90.0,106.0,39596.0
5,Lucid ,Air ,2.8,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,Lucid Air ,155.0,379.0,126000.0
6,Volkswagen ,e-Golf ,9.6,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,Volkswagen e-Golf ,93.0,118.0,38280.0
7,Peugeot ,e-208 ,8.1,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,Peugeot e-208 ,93.0,171.0,35618.0
8,Tesla ,Model 3 Standard Range Plus,5.6,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,Tesla Model 3 Standard Range Plus,140.0,193.0,55656.0
9,Audi ,Q4 e-tron ,6.3,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,Audi Q4 e-tron ,112.0,249.0,66000.0
10,Mercedes ,EQC 400 4MATIC,5.1,216,440,Yes,AWD,Type 2 CCS,SUV,D,5,Mercedes EQC 400 4MATIC,112.0,230.0,83381.0
11,Nissan ,Leaf ,7.9,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,Nissan Leaf ,89.0,137.0,35081.0
12,Hyundai ,Kona Electric 64 kWh,7.9,160,380,Yes,FWD,Type 2 CCS,SUV,B,5,Hyundai Kona Electric 64 kWh,104.0,249.0,48954.0
13,BMW ,i4 ,4.0,178,650,Yes,RWD,Type 2 CCS,Sedan,D,5,BMW i4 ,124.0,280.0,78000.0
14,Hyundai ,IONIQ Electric,9.7,153,210,Yes,FWD,Type 2 CCS,Liftback,C,5,Hyundai IONIQ Electric,103.0,155.0,41351.0
15,Volkswagen ,ID.3 Pro S,7.9,175,590,Yes,RWD,Type 2 CCS,Hatchback,C,4,Volkswagen ID.3 Pro S,99.0,273.0,49123.0
16,Porsche ,Taycan Turbo S,2.8,223,780,Yes,AWD,Type 2 CCS,Sedan,F,4,Porsche Taycan Turbo S,162.0,233.0,216937.0
17,Volkswagen ,e-Up! ,11.9,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,Volkswagen e-Up! ,81.0,121.0,25705.0
18,MG ,ZS EV,8.2,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,MG ZS EV,87.0,137.0,36000.0
19,Mini ,Cooper SE ,7.3,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,Mini Cooper SE ,93.0,115.0,38017.0
20,Opel ,Corsa-e ,8.1,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,Opel Corsa-e ,93.0,171.0,34975.0
21,Tesla ,Model Y Long Range Dual Motor,5.1,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,Tesla Model Y Long Range Dual Motor,135.0,264.0,70344.0
