,Brand and Model Names,Brand and Model
0,Tesla Model 3 Long Range Dual Motor,83
1,Volkswagen ID.3 Pure,97
2,Polestar 2,58
3,BMW iX3 ,13
4,Honda e ,26
5,Lucid Air ,38
6,Volkswagen e-Golf ,99
7,Peugeot e-208 ,57
8,Tesla Model 3 Standard Range Plus,85
9,Audi Q4 e-tron ,2
10,Mercedes EQC 400 4MATIC,42
11,Nissan Leaf ,50
12,Hyundai Kona Electric 64 kWh,30
13,BMW i4 ,12
14,Hyundai IONIQ Electric,28
15,Volkswagen ID.3 Pro S,96
16,Porsche Taycan Turbo S,63
17,Volkswagen e-Up! ,100
18,MG ZS EV,39
19,Mini Cooper SE ,44
20,Opel Corsa-e ,54
21,Tesla Model Y Long Range Dual Motor,90
22,Skoda Enyaq iV 50,71
23,Audi e-tron GT ,5
24,Tesla Model 3 Long Range Performance,84
25,Volkswagen ID.4 ,98
26,Volkswagen ID.3 Pro,94
27,Volvo XC40 P8 AWD Recharge,101
28,BMW i3 120 Ah,10
29,Peugeot e-2008 SUV ,56
30,Audi e-tron 50 quattro,3
31,Kia e-Niro 64 kWh,33
32,Renault Zoe ZE50 R110,67
33,Tesla Cybertruck Tri Motor,82
34,Mazda MX-30 ,40
35,Nissan Leaf e+,51
36,Lexus UX 300e,36
37,CUPRA el-Born ,17
38,Renault Zoe ZE50 R135,68
39,Mercedes EQA ,41
40,Tesla Model S Long Range,86
41,Hyundai Kona Electric 39 kWh,29
42,Audi e-tron Sportback 55 quattro,9
43,Skoda CITIGOe iV ,70
44,SEAT Mii Electric ,69
45,Kia e-Soul 64 kWh,35
46,Opel Ampera-e ,53
47,Porsche Taycan 4S,59
48,Lightyear One ,37
49,Aiways U5 ,0
50,Audi e-tron 55 quattro,4
51,Tesla Roadster ,92
52,Opel Mokka-e ,55
53,Skoda Enyaq iV 80,73
54,Tesla Model X Long Range,88
55,Honda e Advance,27
56,DS 3 Crossback E-Tense,19
57,Renault Twingo ZE,65
58,Citroen e-C4 ,18
59,Tesla Model S Performance,87
60,Renault Zoe ZE40 R110,66
61,Tesla Model Y Long Range Performance,91
62,Nissan Ariya 87kWh,46
63,Jaguar I-Pace ,31
64,Ford Mustang Mach-E ER RWD,23
65,Porsche Taycan 4S Plus,60
66,Nissan e-NV200 Evalia ,52
67,Tesla Cybertruck Dual Motor,80
68,Renault Kangoo Maxi ZE 33,64
69,Ford Mustang Mach-E ER AWD,22
70,BMW i3s 120 Ah,11
71,Skoda Enyaq iV 80X,74
72,Porsche Taycan Cross Turismo ,61
73,Byton M-Byte 95 kWh 4WD,16
74,Sono Sion ,79
75,Kia e-Niro 39 kWh,32
76,Audi Q4 Sportback e-tron ,1
77,Smart EQ forfour ,76
78,Ford Mustang Mach-E SR AWD,24
79,Porsche Taycan Turbo,62
80,Volkswagen ID.3 1st,93
81,Tesla Model X Performance,89
82,Smart EQ fortwo coupe,78
83,Ford Mustang Mach-E SR RWD,25
84,Mercedes EQV 300 Long,43
85,Fiat 500e Hatchback,21
86,Tesla Cybertruck Single Motor,81
87,Audi e-tron Sportback 50 quattro,8
88,Skoda Enyaq iV vRS,75
89,Skoda Enyaq iV 60,72
90,Audi e-tron S 55 quattro,6
91,Smart EQ fortwo cabrio,77
92,Kia e-Soul 64 kWh,35
93,Nissan Ariya e-4ORCE 87kWh,48
94,Fiat 500e Convertible,20
95,Volkswagen ID.3 Pro Performance,95
96,Kia e-Soul 39 kWh,34
97,Byton M-Byte 72 kWh 2WD,14
98,Nissan Ariya 63kWh,45
99,Audi e-tron S Sportback 55 quattro,7
100,Nissan Ariya e-4ORCE 63kWh,47
101,Nissan Ariya e-4ORCE 87kWh Performance,49
102,Byton M-Byte 95 kWh 2WD,15
