,State,year,Brand and Model,Count
0,California,2010,Ford Ranger,51
1,California,2010,Mini Hardtop 2 Door EV,119
2,California,2010,Tesla Roadster,431
3,California,2010,Toyota Prius Plug-in,153
4,California,2011,Chevrolet Volt,1320
5,California,2011,Ford Ranger,42
6,California,2011,Ford Transit Connect Electric,3
7,California,2011,Mini Hardtop 2 Door EV,92
8,California,2011,Nissan Leaf,3638
9,California,2011,Smart forTwo EV,43
10,California,2011,Tesla Roadster,557
11,California,2011,Toyota Prius Plug-in,162
12,California,2012,BMW Active E,515
13,California,2012,Chevrolet Volt,5712
14,California,2012,Fisker Karma,298
15,California,2012,Ford Focus EV,127
16,California,2012,Ford Ranger,41
17,California,2012,Ford Transit Connect Electric,46
18,California,2012,Honda Fit EV,20
19,California,2012,Mini Hardtop 2 Door EV,14
20,California,2012,Mitsubishi i,115
21,California,2012,Nissan Leaf,5899
22,California,2012,Smart forTwo EV,429
23,California,2012,Tesla Model S,98
24,California,2012,Tesla Roadster,575
25,California,2012,Toyota Prius Plug-in,4444
26,California,2012,Toyota RAV4 EV,23
27,California,2013,BMW Active E,515
28,California,2013,Chevrolet Spark,239
29,California,2013,Chevrolet Volt,14775
30,California,2013,Fiat 500e,317
31,California,2013,Fisker Karma,354
32,California,2013,Ford C-Max Energi,1628
33,California,2013,Ford Focus EV,1018
34,California,2013,Ford Fusion Energi,1242
35,California,2013,Ford Ranger,36
36,California,2013,Ford Transit Connect Electric,58
37,California,2013,Honda Accord Plug In,210
38,California,2013,Honda Fit EV,319
39,California,2013,Mini Hardtop 2 Door EV,8
40,California,2013,Mitsubishi i,278
41,California,2013,Nissan Leaf,12845
42,California,2013,Scion iQ,92
43,California,2013,Smart forTwo EV,654
44,California,2013,Tesla Model S,7291
45,California,2013,Tesla Roadster,568
46,California,2013,Toyota Prius Plug-in,9072
47,California,2013,Toyota RAV4 EV,908
48,California,2014,BMW Active E,251
49,California,2014,BMW i3,327
50,California,2014,BMW i3 REx,538
51,California,2014,BMW i8,3
52,California,2014,Cadillac ELR,197
53,California,2014,Chevrolet Spark,1311
54,California,2014,Chevrolet Volt,23618
55,California,2014,Fiat 500e,5868
56,California,2014,Fisker Karma,365
57,California,2014,Ford C-Max Energi,5267
58,California,2014,Ford Focus EV,1997
59,California,2014,Ford Fusion Energi,6661
60,California,2014,Ford Ranger,35
61,California,2014,Ford Transit Connect Electric,63
62,California,2014,Honda Accord Plug In,508
63,California,2014,Honda Fit EV,601
64,California,2014,Kia Soul EV,30
65,California,2014,Mclaren P1,8
66,California,2014,Mercedes B-Class Electric,91
67,California,2014,Mini Hardtop 2 Door EV,10
68,California,2014,Mitsubishi i,325
69,California,2014,Nissan Leaf,21623
70,California,2014,Porsche 918 Spyder,5
71,California,2014,Porsche Panamera S E-Hybrid,169
72,California,2014,Scion iQ,92
73,California,2014,Smart forTwo EV,1842
74,California,2014,Tesla Model S,13114
75,California,2014,Tesla Roadster,559
76,California,2014,Toyota Prius Plug-in,21425
77,California,2014,Toyota RAV4 EV,2036
78,California,2015,BMW Active E,2
79,California,2015,BMW X5,7
80,California,2015,BMW i3,1698
81,California,2015,BMW i3 REx,3951
82,California,2015,BMW i8,441
83,California,2015,Cadillac ELR,419
84,California,2015,Chevrolet Spark,3087
85,California,2015,Chevrolet Volt,30807
86,California,2015,Fiat 500e,12152
87,California,2015,Fisker Karma,351
88,California,2015,Ford C-Max Energi,8804
89,California,2015,Ford Focus EV,3095
90,California,2015,Ford Fusion Energi,11415
91,California,2015,Ford Ranger,35
92,California,2015,Ford Transit Connect Electric,62
93,California,2015,Honda Accord Plug In,673
