,Seats,RapidCharge,Range_Mi,PriceUS,Brand and Model
0,5,1,1,1.0,83
1,5,1,0,0.0,97
2,5,1,0,1.0,58
3,5,1,0,1.0,13
4,4,1,0,0.0,26
5,5,1,1,2.0,38
6,5,1,0,0.0,99
7,5,1,0,0.0,57
8,5,1,0,1.0,85
9,5,1,0,1.0,2
10,5,1,0,1.0,42
11,5,1,0,0.0,50
12,5,1,0,0.0,30
13,5,1,1,1.0,12
14,5,1,0,0.0,28
15,4,1,1,0.0,96
16,4,1,0,4.0,63
17,4,1,0,0.0,100
18,5,1,0,0.0,39
19,4,1,0,0.0,44
20,5,1,0,0.0,54
21,7,1,1,1.0,90
22,5,1,0,0.0,71
23,4,1,1,2.0,5
24,5,1,1,1.0,84
25,5,1,1,1.0,98
26,5,1,0,0.0,94
27,5,1,0,1.0,101
28,4,1,0,0.0,10
29,5,1,0,0.0,56
30,5,1,0,1.0,3
31,5,1,0,0.0,33
32,5,1,0,0.0,67
33,6,1,2,1.0,82
34,5,1,0,0.0,40
35,5,1,0,0.0,51
36,5,1,0,1.0,36
37,4,1,1,1.0,17
38,5,1,0,0.0,68
39,5,1,0,1.0,41
40,5,1,1,1.0,86
41,5,1,0,0.0,29
42,5,1,0,1.0,9
43,4,1,0,0.0,70
44,4,1,0,0.0,69
45,5,1,0,0.0,35
46,5,1,0,1.0,53
47,4,1,0,2.0,59
48,5,1,1,3.0,37
49,5,1,0,0.0,0
50,5,1,0,1.0,4
52,5,1,0,0.0,55
53,5,1,1,0.0,73
54,7,1,1,2.0,88
55,4,1,0,0.0,27
56,5,1,0,0.0,19
57,4,0,0,0.0,65
58,5,1,0,0.0,18
59,5,1,1,2.0,87
60,5,1,0,0.0,66
61,7,1,1,1.0,91
62,5,1,1,1.0,46
63,5,1,0,1.0,31
64,5,1,1,1.0,23
65,4,1,1,2.0,60
66,7,1,0,0.0,52
67,6,1,1,1.0,80
68,5,0,0,0.0,64
69,5,1,1,1.0,22
70,4,1,0,0.0,11
71,5,1,0,1.0,74
72,4,1,0,3.0,61
73,5,1,0,1.0,16
74,5,1,0,0.0,79
75,5,1,0,0.0,32
76,5,1,1,1.0,1
77,4,0,0,0.0,76
78,5,1,0,1.0,24
79,4,1,0,3.0,62
80,5,1,0,0.0,93
81,7,1,1,2.0,89
82,2,0,0,0.0,78
83,5,1,0,1.0,25
84,7,1,0,1.0,43
85,4,1,0,0.0,21
86,6,1,0,1.0,81
87,5,1,0,1.0,8
88,5,1,0,1.0,75
89,5,1,0,0.0,72
90,5,1,0,2.0,6
91,2,0,0,0.0,77
92,5,1,0,0.0,35
93,5,1,1,1.0,48
94,4,1,0,0.0,20
95,5,1,0,0.0,95
96,5,1,0,0.0,34
97,5,1,0,1.0,14
98,5,1,0,1.0,45
99,5,1,0,2.0,7
100,5,1,0,1.0,47
101,5,1,0,1.0,49
102,5,1,0,1.0,15
